Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Andrew Velazquez,28,52,25,17,265.1,95,39,50,6,11,.937,-6,-26,-5,-23,1,3.02,1.71,,,,,,,,SS-2B-CF,velazan01
Chad Wallach,31,60,49,32,415.1,476,458,16,2,3,.996,1,3,0,0,-2,10.27,7.65,4,21,22,9,29%,21%,0,C-1B-DH,wallach01
Jared Walsh,29,37,26,19,259.0,195,182,12,1,26,.995,2,7,0,0,0,6.74,4.97,,,,,,,,1B-RF-DH,walshja01
Andrew Wantz,27,27,3,0,39.1,8,2,5,1,1,.875,,,0,0,0,1.60,0.26,,0,1,0,0%,21%,0,P,wantzan01
Taylor Ward,29,93,89,85,790.0,166,163,3,0,0,1.000,-3,-5,1,2,2,1.89,1.77,,,,,,,,LF-1B,wardta01
Austin Warren,27,2,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,warreau01
Jacob Webb,29,29,0,0,31.2,5,2,2,1,0,.800,,,0,0,0,1.14,0.14,,1,3,0,0%,21%,0,P,webbja01
Zack Weiss,31,6,0,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,weissza01
Infield Shifts,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Team Totals,28.6,162,1458,1059,12885.0,5674,4295,1284,95,124,.983,-66,-6,1,,,3.90,2.56,9,140,89,22,20%,21%,14,,-9999
Rank in 15 AL teams,,,,,,,,,10,,11,,,,,,,,,,,,,,,,-9999
