Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
6,0.247,0.630,strikeout
7,0.128,0.630,hit
7,0.234,0.630,strikeout
7,0.215,0.630,hit
8,0.259,0.660,strikeout
8,0.145,0.660,hit
8,0.217,0.660,hit
9,0.278,0.680,hit
9,0.128,0.680,strikeout
9,0.234,0.680,hit
9,0.215,0.680,hit
1,0.274,0.610,hit
1,0.293,0.610,hit
1,0.272,0.610,walk
1,0.280,0.630,hit
1,0.244,0.630,hit
1,0.274,0.630,hit
1,0.281,0.630,hit
2,0.197,0.610,hit
2,0.252,0.610,hit
2,0.280,0.610,strikeout
2,0.283,0.630,hit
2,0.289,0.630,hit
2,0.247,0.630,walk
2,0.264,0.630,hit
2,0.280,0.630,hit
2,0.244,0.630,hit
3,0.274,0.610,strikeout
3,0.293,0.610,hit
3,0.272,0.610,strikeout
3,0.274,0.630,strikeout
3,0.281,0.630,walk
3,0.283,0.630,walk
3,0.289,0.630,strikeout
3,0.247,0.630,strikeout
4,0.197,0.610,hit
4,0.252,0.610,hit
4,0.280,0.610,hit
4,0.264,0.630,walk
4,0.280,0.630,hit
5,0.274,0.610,hit
5,0.293,0.610,hit
5,0.272,0.610,hit
5,0.197,0.680,strikeout
5,0.252,0.680,walk
5,0.244,0.630,hit
5,0.274,0.630,strikeout
5,0.281,0.650,hit
5,0.283,0.650,hit
5,0.289,0.650,walk
5,0.247,0.650,walk
5,0.264,0.650,hit
6,0.280,0.680,strikeout
6,0.274,0.680,strikeout
6,0.293,0.680,hit
7,0.272,0.680,hit
7,0.197,0.680,strikeout
7,0.281,0.630,strikeout
7,0.283,0.630,strikeout
7,0.289,0.630,walk
7,0.247,0.630,hit
7,0.264,0.630,hit
1,0.337,0.660,strikeout
1,0.289,0.660,hit
1,0.274,0.660,hit
1,0.225,0.660,hit
1,0.283,0.660,strikeout
2,0.280,0.660,strikeout
2,0.281,0.660,strikeout
2,0.247,0.660,strikeout
3,0.244,0.660,hit
3,0.337,0.660,strikeout
3,0.289,0.660,strikeout
4,0.274,0.640,hit
4,0.293,0.640,hit
4,0.272,0.640,hit
4,0.197,0.640,walk
4,0.252,0.640,strikeout
4,0.274,0.660,strikeout
4,0.225,0.660,hit
4,0.283,0.660,strikeout
5,0.274,0.700,hit
5,0.280,0.660,hit
5,0.281,0.660,hit
5,0.247,0.660,hit
5,0.244,0.660,hit
5,0.337,0.660,hit
6,0.293,0.700,hit
6,0.272,0.700,hit
6,0.289,0.660,hit
6,0.274,0.660,hit
6,0.225,0.660,hit
7,0.197,0.700,strikeout
7,0.252,0.700,walk
7,0.283,0.660,hit
7,0.280,0.660,hit
7,0.281,0.660,hit
7,0.247,0.660,strikeout
8,0.283,0.630,walk
8,0.280,0.630,hit
8,0.281,0.630,strikeout
1,0.229,0.610,strikeout
1,0.295,0.610,strikeout
1,0.258,0.610,hit
1,0.283,0.660,hit
1,0.280,0.660,hit
1,0.274,0.660,strikeout
2,0.225,0.660,strikeout
2,0.281,0.660,strikeout
2,0.244,0.660,hit
3,0.260,0.610,hit
3,0.198,0.610,strikeout
3,0.229,0.610,strikeout
3,0.289,0.660,walk
3,0.283,0.660,strikeout
3,0.280,0.660,hit
3,0.274,0.660,strikeout
4,0.295,0.610,strikeout
4,0.258,0.610,hit
4,0.225,0.660,strikeout
4,0.281,0.660,hit
4,0.244,0.660,strikeout
4,0.289,0.660,strikeout
5,0.260,0.610,hit
5,0.198,0.610,hit
5,0.283,0.660,hit
6,0.229,0.610,hit
6,0.295,0.610,hit
6,0.258,0.610,strikeout
6,0.280,0.660,hit
6,0.274,0.660,strikeout
6,0.225,0.660,hit
7,0.281,0.660,hit
7,0.244,0.660,hit
7,0.289,0.660,hit
8,0.258,0.680,hit
8,0.247,0.660,walk
8,0.283,0.610,hit
8,0.280,0.610,hit
8,0.274,0.610,hit
8,0.225,0.610,hit
8,0.281,0.610,hit
8,0.244,0.590,strikeout
9,0.260,0.680,hit
9,0.198,0.680,strikeout
1,0.244,0.630,hit
1,0.283,0.630,strikeout
1,0.225,0.630,strikeout
2,0.281,0.630,hit
2,0.274,0.630,hit
2,0.280,0.630,hit
3,0.247,0.630,strikeout
3,0.264,0.630,hit
3,0.244,0.630,walk
3,0.283,0.630,hit
3,0.225,0.630,strikeout
3,0.281,0.630,hit
4,0.274,0.630,hit
4,0.280,0.630,hit
4,0.247,0.630,hit
4,0.264,0.630,hit
5,0.244,0.630,hit
5,0.283,0.630,hit
6,0.225,0.630,hit
6,0.281,0.630,hit
6,0.274,0.630,hit
6,0.280,0.630,hit
7,0.262,0.660,hit
7,0.271,0.660,strikeout
7,0.247,0.630,strikeout
7,0.264,0.630,hit
7,0.244,0.670,strikeout
8,0.283,0.670,hit
8,0.225,0.630,hit
8,0.281,0.630,hit
8,0.274,0.630,hit
9,0.223,0.680,walk
9,0.262,0.680,hit
9,0.280,0.670,hit
9,0.247,0.670,hit
9,0.264,0.670,hit
1,0.217,0.610,strikeout
1,0.278,0.610,hit
2,0.215,0.610,strikeout
2,0.128,0.610,walk
2,0.234,0.610,hit
2,0.211,0.610,walk
2,0.221,0.610,hit
3,0.217,0.610,strikeout
3,0.278,0.610,hit
3,0.215,0.610,hit
3,0.128,0.610,hit
4,0.234,0.610,walk
4,0.211,0.610,hit
5,0.221,0.610,strikeout
5,0.217,0.610,hit
6,0.281,0.620,hit
6,0.274,0.620,walk
6,0.280,0.620,hit
6,0.247,0.620,strikeout
7,0.244,0.620,hit
7,0.289,0.620,strikeout
8,0.337,0.650,strikeout
8,0.283,0.650,hit
8,0.281,0.650,hit
1,0.219,0.610,walk
1,0.285,0.610,hit
1,0.248,0.610,walk
1,0.264,0.610,hit
1,0.280,0.610,hit
1,0.283,0.610,hit
1,0.281,0.610,hit
1,0.274,0.610,hit
2,0.205,0.610,walk
2,0.269,0.610,hit
2,0.263,0.610,hit
2,0.283,0.610,hit
2,0.225,0.610,hit
2,0.247,0.610,hit
2,0.244,0.610,walk
2,0.280,0.610,hit
3,0.219,0.610,hit
3,0.285,0.610,hit
3,0.248,0.610,hit
3,0.264,0.610,walk
3,0.205,0.640,strikeout
3,0.269,0.640,hit
3,0.283,0.610,hit
3,0.281,0.610,walk
3,0.274,0.610,hit
3,0.225,0.610,hit
4,0.263,0.640,strikeout
4,0.283,0.640,hit
4,0.219,0.640,strikeout
4,0.285,0.640,hit
4,0.247,0.610,hit
4,0.244,0.610,strikeout
5,0.280,0.610,strikeout
5,0.283,0.610,walk
5,0.281,0.610,hit
5,0.274,0.610,hit
5,0.225,0.610,hit
7,0.285,0.660,hit
7,0.248,0.660,walk
7,0.264,0.660,hit
7,0.280,0.750,hit
7,0.283,0.750,strikeout
7,0.281,0.750,hit
8,0.280,0.640,hit
9,0.219,0.680,strikeout
9,0.285,0.680,hit
9,0.248,0.680,hit
9,0.283,0.640,strikeout
9,0.281,0.640,strikeout
9,0.274,0.640,strikeout
1,0.293,0.620,strikeout
1,0.244,0.620,walk
1,0.283,0.620,hit
1,0.281,0.620,hit
1,0.197,0.610,strikeout
1,0.252,0.610,hit
2,0.255,0.620,hit
2,0.289,0.620,strikeout
2,0.274,0.620,hit
2,0.272,0.610,strikeout
2,0.280,0.610,hit
2,0.274,0.610,strikeout
3,0.293,0.620,hit
3,0.244,0.620,walk
3,0.283,0.620,hit
3,0.197,0.610,hit
4,0.281,0.620,hit
4,0.255,0.620,hit
4,0.289,0.620,hit
4,0.274,0.620,hit
4,0.252,0.610,hit
4,0.272,0.610,hit
5,0.293,0.620,hit
5,0.280,0.610,walk
5,0.274,0.610,hit
5,0.197,0.610,hit
5,0.252,0.610,hit
6,0.244,0.620,hit
6,0.283,0.620,hit
6,0.281,0.620,hit
6,0.255,0.620,strikeout
